name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,instructions
Poornalu,"Chana dal, jaggery",vegetarian,240,60,sweet,dessert,Andhra Pradesh,South,"Poornalu, a cherished sweet from Andhra Pradesh, features a delectable filling made with chana dal and jaggery. The process begins by cooking chana dal until it achieves a soft texture, and then it's combined with jaggery, a natural sweetener with a rich, caramel-like flavor. The duo is simmered until it forms a thick, cohesive mixture. This sweet and nutty filling is then encased in a dough made from rice flour or a combination of rice flour and urad dal. The filled dough balls are carefully shaped and deep-fried to a golden brown perfection. Poornalu are not only a delightful treat during festive occasions but also a testament to the culinary artistry that combines the earthy taste of chana dal with the natural sweetness of jaggery."
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,Tamil Nadu,South,"Pongal is a traditional South Indian dish that can be either a savory or sweet preparation. In the sweet version, one of the key ingredients is rice, which is cooked until it reaches a creamy consistency. Jaggery, a natural sweetener made from concentrated sugarcane juice, is then added to sweeten the dish, providing a rich, earthy sweetness. The inclusion of cashews adds a delightful crunch and nutty flavor, while ghee, or clarified butter, contributes a rich and aromatic touch to the overall preparation. Pongal is often enjoyed as a festive sweet dish during celebrations such as the harvest festival of Pongal in South India, highlighting the region's love for combining simple yet flavorful ingredients in its culinary traditions."
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,Andhra Pradesh,South,"Pootharekulu is a traditional Andhra sweet delicacy known for its delicate layers and sweet filling. The main ingredients in its preparation include rice flour, powdered sugar, and ghee. The rice flour is meticulously crafted into thin, transparent sheets, creating the delicate layers that give Pootharekulu its unique texture. These sheets are then filled with a sweet mixture made from powdered sugar and ghee, resulting in a luscious, sugary filling. The layers are carefully folded to create a cylindrical or conical shape, showcasing the artisanal skill involved in making this treat. Pootharekulu is often enjoyed during festivals and special occasions, and its delightful combination of crispy layers and sweet filling makes it a beloved treat in Andhra Pradesh's culinary tradition."
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10,20,sweet,dessert,Telangana,South,"Qubani ka Meetha, a cherished dessert hailing from Hyderabad, is prepared with the simplest yet flavorful ingredients—dried apricots and sugar syrup. The process begins by soaking the dried apricots until they attain a soft, luscious texture. Subsequently, these apricots are stewed in a sugar syrup until the mixture transforms into a decadent, rich consistency. The sugar syrup not only sweetens the apricots but also coats them in a glossy, sweet glaze. The final creation, Qubani ka Meetha, showcases the natural sweetness of apricots complemented by the sugary infusion, offering a delightful dessert that is often adorned with almonds or nuts for added texture. This dessert is a testament to the art of combining a few high-quality ingredients to create a sublime and traditional Indian sweet."
Sheer korma,"Vermicelli pudding, milk",vegetarian,10,20,sweet,dessert,Telangana,South,"Sheer Korma is a delightful vermicelli pudding with roots in Persian and Mughlai cuisine, commonly prepared during festive occasions, especially Eid. The preparation involves cooking fine vermicelli in ghee until it turns golden brown, imparting a rich flavor. It is then simmered in milk until the vermicelli is tender and has absorbed the milk's richness. The key to Sheer Korma's distinct taste lies in the addition of dates, nuts, and cardamom, which infuse the dish with sweetness, crunch, and aromatic warmth. This creamy and fragrant dessert is a cherished part of celebratory feasts, celebrated for its comforting texture and exquisite blend of flavors."
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,10,35,sweet,dessert,Maharashtra,West,"To prepare Shankarpali, the ingredients are mixed to form a smooth dough, which is then rolled out and cut into small, diamond-shaped pieces. These pieces are deep-fried until they become crisp and golden brown. Shankarpali is known for its sweet and buttery flavor, making it a delightful treat enjoyed during festivals and celebrations across India. The combination of maida flour and semolina gives it a unique texture, and the sweetness adds a perfect balance to the richness of ghee."
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,10,720,sweet,dessert,Maharashtra,West,"Shrikhand is a popular Indian dessert made from strained yogurt (curd), sugar, saffron, and cardamom. To prepare Shrikhand, yogurt is hung or strained to remove excess whey, resulting in a thick and creamy consistency. Sugar is added to sweeten the yogurt, and saffron is often infused to impart a rich golden color and a subtle floral aroma. Additionally, cardamom is incorporated for its aromatic warmth. The ingredients are mixed thoroughly to create a smooth and flavorful dessert. Shrikhand is served chilled and is enjoyed for its sweet, tangy, and aromatic profile, making it a favorite during festive occasions and celebrations."
Sutar feni,"Maida, sugar, ghee",vegetarian,15,55,sweet,dessert,Maharashtra,West,"Sutar Feni is a traditional Indian sweet made with a mixture of maida (all-purpose flour), sugar, and ghee. To prepare it, the ingredients are combined to form a dough, which is then rolled out and cut into thin strips or threads. These strips are deep-fried until they become golden brown and crispy. The fried feni is then coated with sugar syrup, giving it a sweet and glossy finish. Sutar Feni is known for its delicate, flaky texture and sweet taste, making it a popular treat, especially during festive occasions and celebrations. The use of maida, sugar, and ghee contributes to its unique and indulgent flavor."
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,10,40,spicy,main course,Assam,North East,"Maach Jhol is a traditional Bengali fish curry known for its flavorful and aromatic broth. To prepare Maach Jhol, fish is cooked with potol (pointed gourd), tomatoes, green chillies, ginger, and garlic. The ingredients are simmered in a broth until the fish is cooked through and the flavors meld together. The curry is seasoned with spices, such as turmeric and cumin, to enhance its taste. Maach Jhol showcases the rich culinary heritage of Bengal, with its emphasis on fresh ingredients and aromatic spices, creating a delicious and comforting fish curry."
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,-1,-1,spicy,main course,Tripura,North East,"Pork Bharta is a flavorful Indian dish made with boiled pork, onions, chillies, ginger, and garlic. To prepare, boiled pork is shredded or minced and then sautéed with finely chopped onions, green chillies, and a mix of ginger and garlic for a robust flavor. The dish is seasoned with various spices to enhance its taste, and it is often cooked until the pork becomes tender and absorbs the aromatic spices. Pork Bharta is a delicious and spicy preparation, showcasing the rich and diverse flavors of Indian cuisine, especially popular in regions that embrace pork as a staple meat."
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,Manipur,North East,"Chak Hao Kheer is a traditional Manipuri rice pudding made with a simple combination of rice, milk, sugar, and cardamom. To prepare, rice is cooked in milk until it achieves a creamy consistency. Sugar is added for sweetness, and cardamom is incorporated for aromatic flavor. The kheer is simmered until the rice is soft and the flavors meld together, creating a comforting and fragrant rice pudding. Chak Hao Kheer is often enjoyed as a sweet treat, especially during festivals and special occasions in Manipur, showcasing the simplicity and richness of regional cuisine."
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,spicy,main course,Nagaland,North East,"Galho is a traditional Naga dish made with a combination of rice, axone (fermented soybean), salt, water, chillies, and pork. To prepare Galho, rice is cooked along with axone, salt, and water to form a soupy base. The dish is then flavored with chillies for heat and pork for additional savory richness. The ingredients are simmered together until the rice is cooked and the flavors are well-infused, resulting in a hearty and flavorful rice soup. Galho is a staple in Naga cuisine, reflecting the region's reliance on locally available ingredients and showcasing its unique culinary traditions."
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,Punjab,North,"Aloo Gobi is a classic North Indian dish made with cauliflower (gobi) and potatoes (aloo), seasoned with garam masala, turmeric, and curry leaves. To prepare, cauliflower and potatoes are sautéed with aromatic spices such as garam masala and turmeric, imparting a warm and flavorful profile. Curry leaves add an additional layer of aroma and taste. The dish is cooked until the vegetables are tender and infused with the rich blend of spices. Aloo Gobi is a popular vegetarian dish, enjoyed for its simplicity, hearty flavors, and the perfect balance of spices."
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,Punjab,North,"Aloo Methi is a simple and flavorful Indian dish made with potatoes (aloo) and fresh fenugreek leaves (methi). To prepare, potatoes are diced and cooked with fenugreek leaves, green chillies, and salt. The dish is typically sautéed in oil until the potatoes are tender and infused with the aromatic flavor of fenugreek. Aloo Methi is appreciated for its earthy taste and the distinct bitterness of fenugreek leaves, creating a delicious and wholesome vegetarian side dish commonly enjoyed with Indian bread or rice."
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,Punjab,North,"Bhatura is a popular Indian fried bread that is often served with Chole (chickpea curry). To prepare Bhatura, a dough is made using a mixture of plain flour, rava (semolina), yogurt, and a pinch of baking soda. The ingredients are kneaded together to form a smooth and elastic dough, which is then allowed to rest. Small portions of the dough are rolled into flat discs and deep-fried until they puff up and turn golden brown. Bhatura is known for its soft and fluffy texture, making it an ideal accompaniment to the flavorful and spicy Chole."
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,Punjab,North,"Bhindi Masala is a flavorful Indian dish made with ladies finger (bhindi), tomatoes, and a blend of aromatic spices. To prepare, wash and chop the bhindi, sauté it until partially cooked in a pan with oil. Add finely chopped tomatoes and continue cooking until the bhindi is tender. Season with garam masala, kasuri methi, red chili powder, and salt, ensuring even distribution of the spices. Cook until the bhindi is well coated, and the flavors meld together. This dish offers a delightful combination of textures and tastes, making it a perfect accompaniment to Indian bread or rice."
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,30,120,spicy,main course,Telangana,South,"To prepare Chicken Biryani, start by marinating chicken thighs with a blend of aromatic spices. Rinse and soak basmati rice. In a pot, layer marinated chicken thighs with partially cooked rice, adding star anise for a subtle fragrance. Introduce elements of sweetness, such as caramelized onions or raisins, for depth. Embed green chillies for a touch of heat. Seal the pot and let the biryani cook on low heat, allowing the flavors to intermingle and the rice to absorb the essence of the spiced chicken. The result is a fragrant and flavorful one-pot dish that captures the essence of traditional Indian cuisine. Serve hot and garnish with fresh herbs for a delightful culinary experience."
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,NCT of Delhi,North,"Butter Chicken, a classic Indian dish, is prepared by marinating tender chicken pieces in a mixture of Greek yogurt, cream, and a blend of spices, including garam masala powder. The marinade infuses the chicken with rich flavors and ensures a succulent texture. A key element is the addition of cashew nuts, which contribute to the dish's creamy and nutty profile. During cooking, generous amounts of butter are used, enhancing the dish's indulgent and velvety consistency. The result is a luscious, mildly spiced chicken curry with a velvety texture, making Butter Chicken a beloved and comforting dish in Indian cuisine. Serve it with naan or rice for a delightful culinary experience."
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,Punjab,North,"Chana Masala, a popular Indian dish, is crafted by simmering chickpeas in a fragrant blend of spices. Begin by sautéing red onion and ginger in avocado oil until aromatic. Introduce tomato paste, allowing it to cook down and create a flavorful base. The heart of the dish lies in the addition of garam masala, which imparts a warm and complex spice profile. The chickpeas are then added to the mix, absorbing the rich flavors during simmering. The result is a hearty and protein-packed curry with a robust combination of spices. Chana masala is a versatile dish, enjoyed with rice, naan, or bread, making it a wholesome and satisfying choice for vegetarians and non-vegetarians alike."
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,-1,main course,Maharashtra,West,"Chapati, a staple in Indian cuisine, is made by combining whole wheat flour with olive oil and hot water to form a soft and pliable dough. The use of whole wheat flour adds nutritional value to the flatbread. A touch of olive oil enhances the texture and imparts a subtle flavor. The dough is then kneaded until smooth and divided into small portions. Each portion is rolled out into a thin, round disc and cooked on a hot griddle. The addition of a small amount of all-purpose flour during rolling helps achieve the desired consistency. Chapatis are quick to make and serve as a versatile accompaniment to various dishes, providing a wholesome and delicious element to meals."
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,spicy,main course,West Bengal,East,"Chicken Razala is a delectable Indian dish known for its rich and aromatic flavors. The recipe involves marinating chicken in a mixture of dahi (yogurt), garam masala powder, and a blend of spices for a tender and flavorful base. The distinctive character of Chicken Razala comes from the addition of sesame seeds, which contribute a nutty undertone, and cashew nuts, which lend creaminess to the dish. Saffron is introduced to infuse a subtle and luxurious aroma. The marinated chicken is then slow-cooked to perfection, allowing the flavors to meld and create a mouthwatering curry. Chicken Razala is a delightful choice for those seeking a harmonious blend of spices and textures, making it a standout dish in Indian cuisine. Serve it with rice or naan for a complete and satisfying meal."
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,10,50,spicy,main course,Punjab,North,"Chicken Tikka Masala is a beloved Indian dish that begins with marinated, grilled, or roasted skinless chicken breasts. The chicken is then simmered in a rich and flavorful tomato sauce infused with garam masala, a blend of aromatic spices. The creamy and indulgent element of this dish is achieved through the addition of heavy cream, creating a luscious and satisfying curry. Chicken Tikka Masala is often served with naan bread, providing the perfect vessel for sopping up the delicious sauce. The combination of tender chicken, aromatic spices, and creamy tomato sauce makes this dish a favorite in both Indian and international cuisine, offering a delightful and comforting dining experience."
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,spicy,starter,Punjab,North,"Chicken Tikka, a popular Indian appetizer, involves marinating chicken pieces in a flavorful mixture before grilling or baking. To prepare the marinade, a blend of whole wheat bread, rice flour, garam masala powder, and a whole egg is used. The whole wheat bread and rice flour contribute to a crispy texture when cooked, while the garam masala imparts a warm and aromatic flavor. The egg serves as a binding agent, helping the marinade adhere to the chicken, ensuring a delicious coating. Once marinated, the chicken is cooked until tender and slightly charred, resulting in a tantalizing dish with a perfect balance of spices and textures. Chicken Tikka is often served with chutney or yogurt sauce, making it a flavorful and satisfying addition to any meal or a delightful appetizer."
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,Punjab,North,"Chole Bhature is a classic North Indian dish featuring spiced chickpeas (chole) served with deep-fried bread (bhatura). To prepare the chole, chickpeas are cooked with aromatic spices such as garam masala, bay leaf, and cinnamon stick, creating a flavorful and hearty curry. The garam masala infuses warmth, while the bay leaf and cinnamon add fragrant undertones. The bhaturas, made from a dough of flour, yogurt, and other ingredients, are rolled out and deep-fried until they puff up and turn golden brown. The combination of the well-seasoned chickpeas and the crispy bhaturas results in a satisfying and delicious dish that is often enjoyed with additional accompaniments like pickles or yogurt. Chole Bhature is a popular street food and a favorite at home, offering a delightful and fulfilling culinary experience."
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,Rajasthan,West,"Daal Baati Churma is a traditional Rajasthani dish consisting of three distinct components. The ""daal"" is a lentil curry made from a blend of moong dal, masoor dal, and chana dal, cooked with aromatic spices to create a flavorful and nutritious base. The ""baati"" are round wheat flour balls that can be baked or traditionally cooked over an open flame until they develop a crisp exterior. The final touch is the ""churma,"" a sweet accompaniment made by crushing the baatis and mixing them with ghee, sugar, and chopped almonds, offering a delightful contrast to the savory daal and providing a complete and fulfilling dining experience. Daal Baati Churma is not only a delicious and hearty meal but also a cultural emblem of Rajasthani cuisine."
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,West Bengal,East,"Daal Puri is a savory and flavorful dish made by stuffing a dough made from all-purpose flour with a seasoned moong dal filling. To prepare the moong dal filling, the lentils are cooked and seasoned with garam masala powder, garlic, and green chili, creating a spicy and aromatic mixture. The dough is made from all-purpose flour and is rolled out into thin circles. A portion of the moong dal filling is then placed in the center of each circle, and the dough is folded and sealed to form a stuffed ball. These balls are rolled out into flat discs and cooked until golden brown. Daal Puri is a delightful combination of textures and tastes, with the spiced moong dal complementing the soft and slightly crispy exterior of the puri. It is often served with chutney or yogurt for a complete and satisfying meal."
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,Punjab,North,"Dal Makhani is a rich and creamy Punjabi dish made with a combination of red kidney beans (rajma) and urad dal (black gram). To prepare, the lentils and beans are slow-cooked with aromatic spices like garam masala and chili powder, infusing the dish with a warm and flavorful profile. The addition of cream further enhances the creaminess and texture of the dal, creating a luscious and indulgent curry. The slow cooking process allows the flavors to meld, resulting in a dish with a velvety consistency and a depth of taste. Dal Makhani is commonly served with rice or Indian bread, such as naan or roti, making it a popular and hearty choice in North Indian cuisine."
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,spicy,main course,Punjab,North,"Dal Tadka is a classic Indian lentil dish made with pigeon peas (toor dal). To prepare, the dal is cooked and then tempered with a fragrant tadka, or tempering of spices. The tempering typically includes garam masala, ginger, red onion, and kasuri methi (dried fenugreek leaves). The garam masala adds warmth, ginger provides a zesty kick, red onion contributes sweetness, and kasuri methi imparts a subtle, earthy flavor. The tempering process involves briefly frying these spices in oil or ghee and then pouring them over the cooked dal, infusing it with layers of aromatic goodness. Dal Tadka is a comforting and flavorful dish that is often served with rice or Indian bread, providing a wholesome and satisfying meal."
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,25,40,spicy,main course,Uttar Pradesh,North,"Navrattan Korma is a delightful and colorful Indian dish featuring a medley of vegetables such as green beans and potatoes. To prepare this vegetarian korma, the vegetables are cooked in a rich and flavorful sauce made with khus khus (poppy seeds), creating a creamy and nutty base. The use of low-fat ingredients ensures a healthier twist to the traditional recipe. Garam masala powder is added for a touch of warmth and depth of flavor. The result is a vibrant and aromatic dish that showcases a variety of vegetables in a delicious and well-balanced curry. Navrattan Korma is often served with rice or Indian bread, providing a wholesome and satisfying dining experience."
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,20,40,spicy,main course,Punjab,North,"Palak Paneer is a popular North Indian dish where cubes of cottage cheese (paneer) are cooked in a creamy spinach (palak) sauce. To prepare, fresh spinach is pureed to create a vibrant and nutritious base. The paneer cubes are then simmered in the spinach puree along with cream, imparting a rich and velvety texture to the dish. Garam masala adds a warming spice blend, while a touch of butter enhances the overall richness. Palak Paneer is a flavorful and wholesome vegetarian option that is often enjoyed with naan or rice, making it a favorite in Indian cuisine for its combination of creamy, aromatic, and nutritious elements."
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,20,40,spicy,main course,Punjab,North,"Paneer Butter Masala is a beloved Indian dish that features cubes of paneer (cottage cheese) cooked in a rich and creamy tomato-based sauce. The sauce is prepared with a luscious combination of whipping cream, garam masala, and cashew nuts, creating a velvety texture and a luxurious flavor profile. The dish is finished with a generous amount of butter, adding richness and a smooth finish. Paneer Butter Masala is known for its mild yet flavorful taste, making it a favorite in Indian cuisine. It is often served with naan or rice, providing a satisfying and indulgent dining experience."
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,15,2,spicy,snack,-1,-1,"Pani Puri, a popular street food in India, consists of small, hollow, crispy puris filled with a flavorful mixture of kala chana (black chickpeas), mashed potatoes, boondi (tiny fried gram flour balls), and sev (crispy chickpea noodles). The highlight of Pani Puri is the spicy and tangy pani (water) made with a blend of tamarind, mint, and various spices, creating a zesty and refreshing kick. The puris are typically filled with the savory mixture, topped with a drizzle of tangy pani, and finished with a squeeze of lemon for an extra burst of flavor. Pani Puri is not just a delightful and crunchy snack; it's also an experience that captures the essence of Indian street food culture."
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,10,25,sweet,dessert,Uttar Pradesh,,"Panjeeri is a wholesome and nutritious Indian sweet made by roasting whole wheat flour in ghee until golden brown. To this, ingredients such as musk melon seeds, poppy seeds, and edible gum are added, providing a delightful crunch and nutty flavor. Semolina is also included in the mix to contribute to the texture. The mixture is sweetened with either jaggery or sugar, creating a balanced and satisfying taste. Panjeeri is revered for its energy-boosting properties and is often consumed during winters or as a postpartum dietary supplement, making it a nourishing and traditional treat in Indian cuisine."
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",vegetarian,10,30,sweet,dessert,Telangana,South,"Shahi Tukra is a royal and indulgent Indian dessert made with simple ingredients. To prepare, white bread slices are typically deep-fried or toasted until golden brown. Meanwhile, a rich and fragrant syrup is made using milk, saffron, and rose water, infusing the dish with floral and aromatic notes. The toasted bread slices are then soaked in this flavorful milk mixture, allowing them to absorb the richness. The dish is often garnished with slivered almonds for added texture and a nutty flavor. Shahi Tukra is a delightful and elegant dessert, reminiscent of the royal kitchens of India, and it is commonly served during festive occasions or special celebrations."
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,240,30,spicy,starter,Punjab,North,"Tandoori Fish Tikka is a mouthwatering dish where fish fillets are marinated and grilled to perfection. To prepare the marinade, a mixture of chickpea flour, biryani masala powder, and yogurt is combined to create a flavorful and aromatic base. The fish fillets are then generously coated with this marinade, allowing them to absorb the spices and yogurt for a rich taste. Additionally, green bell pepper is often included to add a fresh and vibrant element. The marinated fish is skewered and grilled, imparting a smoky flavor and a tantalizing char. Tandoori Fish Tikka is a popular appetizer or main course, celebrated for its combination of spices and the succulent texture of the fish, making it a favorite in Indian cuisine."
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,150,25,spicy,snack,Andhra Pradesh,South,"Attu is a South Indian savory pancake made with a mixture of whole wheat flour and arhar dal (pigeon pea lentils). To prepare the batter, the dal is soaked and ground along with whole wheat flour, ginger, green chillies, and kala jeera (black cumin seeds). This creates a flavorful and slightly spicy batter. The batter is then ladled onto a hot griddle, forming round pancakes that are cooked until they develop a golden brown color and a crispy texture. Attu is a popular breakfast or snack item in South India, enjoyed with chutney or sambar. The inclusion of lentils not only adds nutritional value but also contributes to the unique taste and texture of this traditional dish."
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,30,45,spicy,main course,Kerala,South,"Avial is a traditional South Indian dish known for its medley of mixed vegetables. The preparation typically includes raw banana, elephant foot yam, long beans, tindora (ivy gourd), and urad dal (black gram lentils). These vegetables are cut into bite-sized pieces and cooked until tender. The dish is seasoned with a coconut-based paste, which is made by grinding grated coconut with cumin seeds. The urad dal is often used in the tempering process, providing a nutty flavor. Avial is celebrated for its simplicity, vibrant colors, and the use of a coconut-infused base, making it a flavorful and wholesome side dish in South Indian cuisine."
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,30,45,spicy,main course,Karnataka,South,"Bisi Bele Bath is a flavorful and hearty South Indian rice dish made with a unique blend of spices and lentils. The dish typically includes split pigeon peas, chana dal, urad dal, green peas, and French beans. To prepare, these lentils and vegetables are cooked together with tamarind, jaggery, and a special spice blend that often includes fenugreek seeds, coriander seeds, and red chilies. The mixture is then combined with rice, creating a one-pot meal with a harmonious balance of flavors—spicy, tangy, and slightly sweet. Bisi Bele Bath is garnished with ghee-fried cashews and is often served with a dollop of ghee or yogurt. This dish is not only delicious but also a nutritious and satisfying option in South Indian cuisine."
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Curry Leaves Rice, or ""Currivepillai Sadam"" in South Indian cuisine, is a flavorful rice dish with a distinctive taste. To prepare, chana dal and urad dal are roasted to add a nutty flavor, and then ground along with fresh coconut, sesame seeds, and curry leaves to create a fragrant paste. This paste is then sautéed in oil, and cooked rice is added, ensuring it gets well-coated with the aromatic mixture. The curry leaves contribute a unique and earthy aroma, enhancing the overall flavor profile of the dish. Currivepillai Sadam is not only a delicious and aromatic rice preparation but also celebrates the nutritional benefits of curry leaves and the richness of South Indian culinary traditions."
Idiappam,"Rice flour, hot water, grated coconut",vegetarian,120,30,spicy,snack,Tamil Nadu,South,"To prepare idiappam, rice flour is mixed with hot water to form a smooth and pliable dough. The dough is then pressed through a special press or mold to create thin strands, which are coiled into a circular shape on a steaming plate. The coiled dough is then steamed until fully cooked. Idiappam is often served with freshly grated coconut, providing a delightful combination of textures and flavors. This light and versatile dish can be enjoyed with various accompaniments, such as coconut milk, curry, or a sweetened coconut and jaggery mixture, making it a popular and wholesome choice in South Indian cuisine."
Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,10,45,-1,snack,Kerala,South,"Kanji is a traditional Indian fermented drink that is both refreshing and nutritious. To prepare this beverage, grated carrots are combined with yellow mustard, red chili, and black salt, creating a flavorful mixture. The ingredients are then submerged in water and left to undergo natural fermentation. The fermentation process not only imparts a tangy taste to the drink but also enhances its probiotic properties. Kanji is typically enjoyed during festivals like Holi and is known for its unique blend of spicy and sour flavors. It serves as a cooling and digestive beverage, making it a popular choice, especially during warmer seasons in Indian households."
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,"Kaara Kozhambu is a flavorful and tangy South Indian curry known for its spicy kick. To prepare this dish, sesame oil is heated, and drumstick pieces are sautéed until they develop a rich color. Tamarind paste is then added, creating the base for the tangy flavor. Sambar powder, a spice blend, is incorporated to provide depth and heat to the curry. Finally, tomatoes are added to balance the tanginess and add a touch of sweetness. The mixture is simmered until the flavors meld together, resulting in a delicious and aromatic Kaara Kozhambu. This curry is typically served with rice and is a popular choice in South Indian households for its robust and well-balanced taste."
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,20,30,spicy,main course,Tamil Nadu,South,"To prepare, moong dal and chana dal are cooked until tender, and then spinach (keerai) is added to the mix. In a separate pan, urad dal is tempered in coconut oil until golden brown, creating a fragrant seasoning. This tempering, along with the addition of coconut oil, enhances the dish with a distinct South Indian flavor. The seasoned mixture is then combined with the cooked lentils and spinach, creating a wholesome and well-balanced kootu. Keerai kootu is often served with rice, providing a delicious and nutritious accompaniment to a South Indian meal."
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,"Keerai Masiyal is a traditional South Indian dish that features a flavorful and spiced spinach mash. To prepare, spinach is cooked until tender and then mashed to a coarse consistency. In a separate pan, urad dal is roasted until golden brown, and mustard seeds are spluttered in oil, adding a nutty flavor and aromatic touch. Curry leaves are also included for their distinct fragrance. The tempered ingredients are then combined with the mashed spinach. A pinch of sugar is often added to enhance the overall flavor profile, providing a subtle sweetness to complement the savory elements. Keerai Masiyal is a simple yet delicious dish, showcasing the natural flavors of spinach with the added depth of the tempering, making it a nutritious and comforting choice in South Indian cuisine."
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,20,30,spicy,main course,Tamil Nadu,South,"Keerai Poriyal is a nutritious South Indian side dish made with amaranth leaves. To prepare, the amaranth leaves are finely chopped and sautéed with split urad dal, mustard seeds, and red chilies in oil until they are cooked and tender. The mustard seeds add a subtle crunch, and the urad dal provides a nutty flavor to the dish. Grated coconut is often added at the end, enhancing the overall taste with its sweetness and texture. Keerai Poriyal is a quick and simple stir-fry that celebrates the natural flavors of the greens while incorporating the aromatic tempering, making it a wholesome and delicious accompaniment to rice in South Indian meals."
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,10,60,spicy,main course,Kerala,South,"Beef Fry is a flavorful and spicy South Indian dish that highlights the rich taste of beef. To prepare, bite-sized beef pieces are marinated in a mixture of coconut, garam masala, curry leaves, green chilies, and chili powder. This marinade infuses the beef with a blend of aromatic spices and a hint of coconut sweetness. The beef is then stir-fried until it develops a rich brown color, creating a perfect balance of tenderness and a slightly crispy exterior. Beef Fry is known for its bold flavors and is often enjoyed as a side dish or a main course, served with rice or bread in South Indian cuisine."
Pesarattu,"Green moong beans, rice flour",vegetarian,120,20,spicy,snack,Andhra Pradesh,South,"Pesarattu is a nutritious and popular South Indian pancake made primarily with green moong beans. To prepare, green moong beans are soaked, ground into a batter, and combined with rice flour. The batter is seasoned with salt and sometimes includes ingredients like ginger or green chilies for added flavor. The resulting batter is then ladled onto a hot griddle to create thin and crispy pancakes. Pesarattu is often served with chutney or a spicy lentil powder known as podi. This dish is not only delicious but also high in protein, making it a healthy and satisfying choice for breakfast or a light meal in South Indian cuisine."
